id,food,size,sex,lake
74,invert,>=2.3,m,oklawaha
75,invert,>=2.3,m,oklawaha
76,invert,>=2.3,m,oklawaha
77,invert,>=2.3,m,oklawaha
78,invert,>=2.3,m,oklawaha
79,invert,>=2.3,m,oklawaha
80,invert,>=2.3,m,oklawaha
81,rep,>=2.3,m,oklawaha
82,rep,>=2.3,m,oklawaha
83,rep,>=2.3,m,oklawaha
84,rep,>=2.3,m,oklawaha
85,rep,>=2.3,m,oklawaha
86,rep,>=2.3,m,oklawaha
87,fish,<2.3,f,oklawaha
88,fish,<2.3,f,oklawaha
89,fish,<2.3,f,oklawaha
90,invert,<2.3,f,oklawaha
91,invert,<2.3,f,oklawaha
92,invert,<2.3,f,oklawaha
93,invert,<2.3,f,oklawaha
94,invert,<2.3,f,oklawaha
95,invert,<2.3,f,oklawaha
96,invert,<2.3,f,oklawaha
97,invert,<2.3,f,oklawaha
98,invert,<2.3,f,oklawaha
99,rep,<2.3,f,oklawaha
100,other,<2.3,f,oklawaha
101,other,<2.3,f,oklawaha
102,invert,>=2.3,f,oklawaha
103,bird,>=2.3,f,oklawaha
104,fish,<2.3,m,trafford
105,fish,<2.3,m,trafford
106,fish,<2.3,m,trafford
107,invert,<2.3,m,trafford
108,invert,<2.3,m,trafford
109,invert,<2.3,m,trafford
110,invert,<2.3,m,trafford
111,invert,<2.3,m,trafford
112,invert,<2.3,m,trafford
113,invert,<2.3,m,trafford
114,rep,<2.3,m,trafford
115,other,<2.3,m,trafford
116,fish,>=2.3,m,trafford
117,fish,>=2.3,m,trafford
118,fish,>=2.3,m,trafford
119,fish,>=2.3,m,trafford
120,fish,>=2.3,m,trafford
121,fish,>=2.3,m,trafford
122,fish,>=2.3,m,trafford
123,fish,>=2.3,m,trafford
124,invert,>=2.3,m,trafford
125,invert,>=2.3,m,trafford
126,invert,>=2.3,m,trafford
127,invert,>=2.3,m,trafford
128,invert,>=2.3,m,trafford
129,invert,>=2.3,m,trafford
130,rep,>=2.3,m,trafford
131,rep,>=2.3,m,trafford
132,rep,>=2.3,m,trafford
133,rep,>=2.3,m,trafford
134,rep,>=2.3,m,trafford
135,rep,>=2.3,m,trafford
136,bird,>=2.3,m,trafford
137,bird,>=2.3,m,trafford
138,bird,>=2.3,m,trafford
139,other,>=2.3,m,trafford
140,other,>=2.3,m,trafford
141,other,>=2.3,m,trafford
142,other,>=2.3,m,trafford
143,other,>=2.3,m,trafford
144,fish,<2.3,f,trafford
145,fish,<2.3,f,trafford
146,invert,<2.3,f,trafford
147,invert,<2.3,f,trafford
148,invert,<2.3,f,trafford
149,invert,<2.3,f,trafford
150,rep,<2.3,f,trafford
151,bird,<2.3,f,trafford
152,other,<2.3,f,trafford
153,other,<2.3,f,trafford
154,other,<2.3,f,trafford
155,other,<2.3,f,trafford
156,invert,>=2.3,f,trafford
157,fish,<2.3,m,george
158,fish,<2.3,m,george
159,fish,<2.3,m,george
160,fish,<2.3,m,george
161,fish,<2.3,m,george
162,fish,<2.3,m,george
163,fish,<2.3,m,george
164,fish,<2.3,m,george
165,fish,<2.3,m,george
166,fish,<2.3,m,george
167,fish,<2.3,m,george
168,fish,<2.3,m,george
169,fish,<2.3,m,george
170,invert,<2.3,m,george
171,invert,<2.3,m,george
172,invert,<2.3,m,george
173,invert,<2.3,m,george
174,invert,<2.3,m,george
175,invert,<2.3,m,george
176,invert,<2.3,m,george
177,invert,<2.3,m,george
178,invert,<2.3,m,george
179,invert,<2.3,m,george
180,bird,<2.3,m,george
181,bird,<2.3,m,george
182,other,<2.3,m,george
183,other,<2.3,m,george
184,fish,>=2.3,m,george
185,fish,>=2.3,m,george
186,fish,>=2.3,m,george
187,fish,>=2.3,m,george
188,fish,>=2.3,m,george
189,fish,>=2.3,m,george
190,fish,>=2.3,m,george
191,fish,>=2.3,m,george
192,fish,>=2.3,m,george
193,bird,>=2.3,m,george
194,other,>=2.3,m,george
195,other,>=2.3,m,george
196,fish,<2.3,f,george
197,fish,<2.3,f,george
198,fish,<2.3,f,george
199,invert,<2.3,f,george
200,invert,<2.3,f,george
201,invert,<2.3,f,george
202,invert,<2.3,f,george
203,invert,<2.3,f,george
204,invert,<2.3,f,george
205,invert,<2.3,f,george
206,invert,<2.3,f,george
207,invert,<2.3,f,george
208,rep,<2.3,f,george
209,other,<2.3,f,george
210,fish,>=2.3,f,george
211,fish,>=2.3,f,george
212,fish,>=2.3,f,george
213,fish,>=2.3,f,george
214,fish,>=2.3,f,george
215,fish,>=2.3,f,george
216,fish,>=2.3,f,george
217,fish,>=2.3,f,george
218,invert,>=2.3,f,george
219,other,>=2.3,f,george
